2008,1,6,7,1050,1050,1211,1210,WN,680,N283WN,81,80,65,1,0,LAX,SFO,337,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1244,1245,1405,1405,WN,776,N720WN,81,80,68,0,-1,LAX,SFO,337,3,10,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1547,1455,1655,1600,WN,173,N350SW,68,65,58,55,52,LAX,SJC,308,4,6,0,,0,21,0,3,0,31
2008,1,6,7,1601,1525,1711,1630,WN,232,N642WN,70,65,59,41,36,LAX,SJC,308,3,8,0,,0,7,0,5,0,29
2008,1,6,7,2046,2000,2156,2105,WN,343,N360SW,70,65,59,51,46,LAX,SJC,308,5,6,0,,0,0,0,22,0,29
2008,1,6,7,1137,1130,1241,1235,WN,769,N242WN,64,65,53,6,7,LAX,SJC,308,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,2121,2035,2238,2140,WN,1113,N413WN,77,65,61,58,46,LAX,SJC,308,5,11,0,,0,23,0,12,0,23
2008,1,6,7,1506,1425,1610,1530,WN,1609,N781WN,64,65,53,40,41,LAX,SJC,308,4,7,0,,0,18,0,0,0,22
2008,1,6,7,910,910,1022,1015,WN,1764,N642WN,72,65,56,7,0,LAX,SJC,308,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1925,1825,2044,1930,WN,2359,N476WN,79,65,68,74,60,LAX,SJC,308,4,7,0,,0,16,0,14,0,44
2008,1,6,7,2108,1930,2232,2035,WN,2528,N459WN,84,65,59,117,98,LAX,SJC,308,13,12,0,,0,16,0,19,0,82
2008,1,6,7,1303,1240,1419,1350,WN,2820,N669SW,76,70,60,29,23,LAX,SJC,308,5,11,0,,0,6,0,6,0,17
2008,1,6,7,1000,1000,1107,1105,WN,2969,N643SW,67,65,56,2,0,LAX,SJC,308,4,7,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1808,1700,1918,1805,WN,3149,N205WN,70,65,56,73,68,LAX,SJC,308,6,8,0,,0,22,0,5,0,46
2008,1,6,7,1412,1330,1647,1615,WN,554,N209WN,95,105,82,32,42,LAX,SLC,590,3,10,0,,0,27,0,0,0,5
2008,1,6,7,1203,1045,1437,1330,WN,963,N380SW,94,105,85,67,78,LAX,SLC,590,4,5,0,,0,0,0,67,0,0
2008,1,6,7,2101,2010,2340,2255,WN,1485,N253WN,99,105,82,45,51,LAX,SLC,590,10,7,0,,0,45,0,0,0,0
2008,1,6,7,1732,1650,2006,1935,WN,2899,N242WN,94,105,80,31,42,LAX,SLC,590,5,9,0,,0,24,0,0,0,7
2008,1,6,7,1118,1100,1237,1220,WN,92,N495WN,79,80,64,17,18,LAX,SMF,373,4,11,0,,0,0,0,0,10,7
2008,1,6,7,810,810,929,930,WN,337,N259WN,79,80,62,-1,0,LAX,SMF,373,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,2030,1910,2146,2025,WN,1015,N325SW,76,75,65,81,80,LAX,SMF,373,4,7,0,,0,24,0,1,0,56
2008,1,6,7,906,900,1022,1020,WN,1486,N636WN,76,80,62,2,6,LAX,SMF,373,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,2230,2125,5,2245,WN,2437,N202WN,95,80,70,80,65,LAX,SMF,373,4,21,0,,0,40,0,15,0,25
2008,1,6,7,1537,1505,1651,1620,WN,2720,N323SW,74,75,65,31,32,LAX,SMF,373,4,5,0,,0,2,0,0,0,29
2008,1,6,7,1406,1350,1524,1510,WN,2985,N479WN,78,80,67,14,16,LAX,SMF,373,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1755,1715,1911,1830,WN,3155,N227WN,76,75,65,41,40,LAX,SMF,373,5,6,0,,0,1,0,1,0,39
2008,1,6,7,2126,2035,2321,2155,WN,3584,N400WN,115,80,76,86,51,LAX,SMF,373,4,35,0,,0,27,0,35,0,24
2008,1,6,7,1711,1655,2227,2225,WN,71,N397SW,196,210,183,2,16,LAX,STL,1593,6,7,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1423,1345,1644,1600,WN,75,N315SW,81,75,57,44,38,LAX,TUS,451,3,21,0,,0,0,0,15,0,29
2008,1,6,7,1951,1850,2200,2105,WN,1044,N361SW,69,75,57,55,61,LAX,TUS,451,4,8,0,,0,7,0,0,0,48
2008,1,6,7,1840,1655,2055,1910,WN,3048,N388SW,75,75,59,105,105,LAX,TUS,451,3,13,0,,0,24,0,0,0,81
2008,1,6,7,1041,1040,1250,1300,WN,3831,N391SW,69,80,57,-10,1,LAX,TUS,451,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,22,2040,241,2300,WN,3939,N658SW,79,80,54,221,222,LAX,TUS,451,3,22,0,,0,0,0,0,0,221
2008,1,6,7,1909,1910,1918,1915,WN,160,N489WN,69,65,56,3,-1,LBB,ABQ,289,5,8,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1759,1745,1859,1850,WN,555,N512SW,60,65,49,9,14,LBB,AUS,341,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,847,850,954,955,WN,836,N775SW,67,65,52,-1,-3,LBB,AUS,341,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1011,1010,1104,1110,WN,21,N502SW,53,60,46,-6,1,LBB,DAL,293,2,5,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1341,1340,1439,1440,WN,35,N505SW,58,60,47,-1,1,LBB,DAL,293,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1709,1640,1807,1740,WN,141,N201LV,58,60,48,27,29,LBB,DAL,293,3,7,0,,0,11,0,0,0,16
